Month,Year,Area,DEPTH,NOX,NO3,NO2,NH4,TN,DIN,TON,TP,SRP,CHLA,TOC,SAL_S,SAL_B,TEMP_S,TEMP_B,DO_S,DO_B,TURB,pH
June,2003,Shark,2.1,3.03,2.544,0.485,3.099,27.739,6.129,21.611,0.461,0.069,2.076,566.563,23.98,24.16,29.28,29.34,4.3,4.58,3.6,7.62
May,2005,Shark,2.1,1.534,1.333,0.201,0.567,17.356,2.102,15.254,0.623,0.188,1.325,391.917,35.63,35.97,28.1,27.17,8.16,8.27,3.62,7.81
June,1997,Shark,2.1,1.153,0.983,0.17,0.745,48.871,1.898,46.974,1.615,0.008,10.836,1012.5,10,10,29.1,29.1,5,5.1,4.4,-9999
June,1996,Shark,2.1,0.408,0.24,0.168,0.515,36.014,0.923,35.092,0.615,0.135,2.638,770.208,25.9,25.9,29.8,29.8,4.9,4.6,5.5,-9999
September,1997,Shark,2.1,1.275,1.053,0.223,0.883,49.962,2.158,47.805,0.608,0.153,2.459,785.854,21.4,22.2,28.7,28.6,4.1,4,3.2,-9999
November,2004,Shark,2.1,1.556,1.289,0.268,1.205,36.786,2.761,34.024,0.483,0.027,1.827,689.771,18.87,18.87,26.54,26.54,6.26,6.56,2.71,7.7
May,2004,Shark,2.1,0.268,0.233,0.035,0.032,23.952,0.3,23.652,0.474,0.054,2.82,427.146,32.86,33.09,28.25,28.19,6.46,6.5,2.14,7.98
February,2004,Shark,2.1,2.353,2.195,0.158,1.138,31.244,3.491,27.753,0.43,0.048,2.233,655.021,22.48,22.62,22.02,22.01,6.65,6.33,2.31,7.76
February,2005,Shark,2.1,0.451,0.305,0.146,1.239,21.36,1.689,19.671,0.922,0.027,2.851,572.313,28.79,28.85,20.66,20.54,6.19,6.62,6.12,7.68
August,2005,Taylor,2.4,2.325,1.979,0.345,0.829,11.815,3.154,8.662,0.404,0.15,2.641,620.271,25.13,25.74,31.08,30.97,4.03,3.9,3.63,7.69
October,2002,Taylor,2.4,1.408,1.13,0.278,0.815,31.129,2.223,28.906,0.607,0.102,0.735,427.833,29.14,30.82,29.22,29.05,4.92,4.61,1.74,7.72
July,2004,Taylor,2.4,1.638,1.238,0.4,1.245,21.263,2.883,18.381,0.416,0.082,1.649,507.688,36.43,35.53,29.78,29.63,5.49,5.5,1.12,7.91
January,2005,Taylor,2.4,3.285,2.533,0.752,1.477,18.19,4.762,13.428,0.729,0.086,2.033,756.938,25.6,27.92,18.63,16.77,7.63,7.69,3.76,7.87
March,1999,Taylor,2.4,1.278,1.04,0.238,0.885,31.113,2.163,28.951,0.314,0.11,0.908,639.604,25.5,25.5,21.6,21.6,8.7,8.6,1.85,-9999
February,2003,Taylor,2.4,1.746,1.497,0.249,1.235,38.027,2.981,35.046,0.399,0.093,2.83,496.917,30,30.06,24.16,23.92,6.5,5.93,1.81,7.66
April,1998,Taylor,2.4,2.093,1.47,0.623,0.563,32.973,2.655,30.318,0.79,0.01,3.222,606.646,25,25,22.7,22.7,7,7.1,12.9,-9999
May,1998,Taylor,2.4,1.435,1.113,0.323,2.05,33.5,3.485,30.015,0.213,0.09,2.777,653.208,28.3,28.3,29.3,29.3,4.9,4.8,6.7,-9999
May,2003,Taylor,2.4,1.226,0.959,0.267,2.028,32.027,3.254,28.772,0.36,0.177,1.205,523.396,32.22,31.18,29.74,29.68,4.78,4.07,1.98,7.98
October,1996,Taylor,2.4,2.72,2.278,0.443,1.53,39.223,4.25,34.973,0.475,0.023,2.176,745.833,23.1,23.1,25.4,25.3,3.7,3.7,5.5,-9999
April,2004,Taylor,2.4,0.542,0.427,0.115,0.453,32.195,0.996,31.199,0.441,0.088,2.824,261.021,31.93,31.96,22.15,22.1,6.51,6.92,2.75,7.95
July,1998,Taylor,2.4,0.198,0.148,0.05,0.635,33.121,0.833,32.288,0.89,0.023,3.093,660.25,28.8,28.8,31.5,31.5,6.1,4,2.35,-9999
November,2003,Taylor,2.4,0.388,0.282,0.107,0.554,17.79,0.943,16.848,0.392,0.1,2.031,404.479,28.74,28.76,24.91,24.88,6.15,6.24,0.73,8.04
June,1996,Taylor,2.4,1.373,0.985,0.388,1.475,33.863,2.848,31.016,0.525,0.245,1.686,634.229,29.1,29.1,28.8,28.9,6,6.4,5.15,-9999
April,1997,Taylor,2.4,0.59,0.46,0.13,0.545,32.475,1.135,31.34,0.523,0.07,1.702,697.042,33.1,33.1,24.8,24.5,5.2,5.3,1.35,-9999
April,2001,Taylor,2.4,0.23,0.138,0.093,0.328,23.311,0.558,22.753,0.77,0.043,1.793,569.625,37.1,37.2,23.9,23.9,6.5,6.3,6.27,-9999
October,1998,Taylor,2.4,0.04,0,0.04,0.133,33.35,0.173,33.177,0.956,0.288,9.71,617.667,34.4,34.3,29.1,29.2,5.7,5.9,21.35,-9999
October,1997,Taylor,2.4,0.835,0.675,0.16,0.35,44.788,1.185,43.603,0.69,0.133,2.537,727.083,23.1,28.2,27.5,28.4,6.7,6.7,1.95,-9999
November,2002,Taylor,2.4,1.142,1.11,0.032,1.893,31.136,3.035,28.1,0.036,0.157,1.704,847.083,20.81,21.26,19.37,19.32,7.44,7.08,3.63,7.74
August,2003,Taylor,2.4,1.918,1.578,0.34,1.312,30.672,3.23,27.442,0.432,0.098,1.688,489.833,26.66,26.98,29,28.94,4.14,3.73,3.44,7.71
February,1997,Taylor,2.4,2.663,2.12,0.543,0.94,33.302,3.603,29.699,0.475,0.07,1.289,641.25,29.9,29.9,25,24.9,5.2,5.2,4,-9999
October,2004,Taylor,2.4,2.972,2.65,0.322,1.912,19.643,4.883,14.759,0.527,0.073,0.751,482.188,28.48,31.35,28.51,28.43,6.24,7.41,1.13,7.68
March,2000,Taylor,2.4,0.508,0.467,0.041,0.547,19.889,1.055,18.835,0.578,0.018,3.789,567.5,27.6,28.3,23.5,23.2,6.5,7,2.17,-9999
August,1997,Taylor,2.4,1.58,1.275,0.305,0.83,28.773,2.41,26.363,0.91,0.208,1.734,507.479,29.7,29.7,30.9,31,4,4,2.2,-9999
August,2001,Taylor,2.4,2.613,2.148,0.465,1.425,23.043,4.038,19.005,0.685,0.088,3.452,665.854,27.8,27.8,31,31,3,3.1,2.3,-9999
November,2000,Taylor,2.4,1.45,1.303,0.148,0.728,26.563,2.178,24.386,0.543,0.043,1.872,608.25,23.9,25,24.7,24.7,7.2,7.3,2.73,-9999
December,2002,Taylor,2.4,1.83,1.578,0.252,0.996,29.369,2.825,26.543,0.414,0.215,2.559,581.958,19.35,18.95,20.13,20.12,6.37,6.15,3.78,7.91
January,1997,Taylor,2.4,0.28,0.203,0.078,0.395,33.926,0.675,33.251,0.353,0.053,1.883,539.021,31.1,31.1,20.5,20.5,7.9,7.9,0.7,-9999
July,1996,Taylor,2.4,0.575,0.24,0.335,1.38,64.282,1.955,62.327,0.98,0.163,5.184,985.417,19.5,20,29.7,29.6,3.1,3.2,6.9,-9999
March,2005,Taylor,2.4,3.333,2.906,0.426,1.518,25.595,4.85,20.745,0.674,0.108,2.207,444.361,33.99,34.29,25.29,25.09,7.92,9.14,6.29,7.73
January,2001,Taylor,2.4,0.145,0.123,0.023,0.9,27.604,1.045,26.559,1.368,0.048,1.994,616.333,32.3,33.1,14.9,14.9,9.5,9.5,6.35,-9999
April,1996,Taylor,2.4,0.883,0.655,0.228,0.56,44.154,1.443,42.712,0.678,0.24,1.854,480.563,31.1,31.1,25.3,25.2,6.2,6.4,12.1,-9999
August,2002,Taylor,2.4,0.468,0.39,0.079,0.516,51.999,0.984,51.015,0.94,0.118,5.048,752.938,20.48,22.09,29.55,29.43,5.26,4.07,3.8,7.74
November,1996,Taylor,2.4,1.62,1.378,0.243,0.715,30.52,2.335,28.185,0.57,0.168,1.516,533.875,28.8,28.8,22.8,22.8,4,4.1,2.3,-9999
July,2002,Taylor,2.4,0.372,0.314,0.058,0.404,22.763,0.776,21.987,0.538,0.026,8.763,865.188,29.33,31.6,29.02,28.51,6.83,7.2,5.43,7.87
March,2004,Taylor,2.4,0.222,0.192,0.03,0.073,37.718,0.294,37.423,0.384,0.007,2.029,384.25,28.97,29,21.03,20.99,6.32,6.3,1.85,7.94
December,1997,Taylor,2.4,1.445,1.198,0.248,0.973,34.567,2.418,32.149,0.43,0.255,1.096,670.063,22.9,26.8,19.7,19.6,7.1,7.6,1.6,-9999
August,2001,Taylor,2.4,3.168,2.723,0.445,1.028,21.541,4.195,17.346,0.52,0.095,3.935,664.396,27.6,30,30,28.8,5,5,4.43,-9999
June,2002,Taylor,2.4,2.695,2.194,0.501,1.434,36.014,4.128,31.886,0.818,0.175,1.675,1332.083,31.68,32.62,28.22,28.07,4.23,3.93,1.6,7.67
December,1998,Taylor,2.4,4.875,4.445,0.43,1.353,36.296,6.228,30.069,0.733,0.288,2.172,655.104,22.2,22.5,24.3,24.2,5.1,5.1,5.44,-9999
February,2004,Taylor,2.4,2.794,2.601,0.193,2.34,31.646,5.134,26.512,0.486,0.051,1.747,608.583,24.5,24.61,21.06,20.97,6.56,6.49,2.28,7.73
January,1999,Taylor,2.4,1.8,1.57,0.23,0.615,35.209,2.415,32.794,0.558,0.078,2.231,664.833,21.4,21.6,17.7,17.6,8.2,8.2,2.2,-9999
October,2001,Taylor,2.4,3.592,3.149,0.443,0.438,17.364,4.029,13.335,1.251,0.268,5.932,574.521,22.8,22.9,27.3,27.4,8.1,8.6,6.01,-9999
March,1998,Taylor,2.4,1.285,0.883,0.403,0.293,39.142,1.578,37.564,1.049,0.07,0.348,789.5,19.4,20.5,20.4,20.9,6.3,6.3,2.7,-9999
May,1996,Taylor,2.4,1.625,1.33,0.295,1.388,30.805,3.013,27.792,0.655,0.263,1.074,475.167,32.1,32.1,26.9,26.9,5.2,5.5,3.4,-9999
January,1996,Taylor,2.4,0.918,0.803,0.114,0.707,45.599,1.625,43.975,0.35,0.108,1.876,766.104,18.8,25.1,15.8,15.2,8.3,8.4,6.25,-9999
January,2003,Taylor,2.4,0.533,0.418,0.115,0.565,35.619,1.098,34.522,0.3,0.111,1.105,535.896,25.69,26.49,16.76,16.62,8.1,7.95,1.65,7.89
April,2002,Taylor,2.4,1.86,1.505,0.355,1.11,15.266,2.97,12.297,0.525,0.15,1.518,421.354,31.85,32.09,27.16,26.87,7.31,6.98,1.99,-9999
January,2000,Taylor,2.4,1.67,1.629,0.041,0.964,20.679,2.635,18.045,0.7,0.018,5.177,621.854,24.5,26.3,23.6,23.6,7,7.7,1.52,-9999
October,2003,Taylor,2.4,1.052,0.855,0.197,1.281,33.242,2.332,30.91,0.539,0.142,3.024,616.438,23.62,23.55,26.92,26.88,4.69,4.57,6.77,7.66
August,2004,Taylor,2.4,2.199,1.839,0.361,1.2,19.742,3.399,16.343,0.359,0.044,2.863,532.313,27.51,27.64,31.13,31.07,4.95,7.18,2.3,7.55
July,2003,Taylor,2.4,0.303,0.258,0.045,0.117,34.128,0.42,33.708,0.396,0.075,1.483,491.688,28.62,30.78,30.33,30.19,5.18,5.14,0.91,7.82
June,1999,Taylor,2.4,0.478,0.27,0.208,0.353,35.11,0.83,34.28,0.523,0.053,4.991,606.167,29.6,30.5,30.3,30.3,5.4,5.2,3.23,-9999
December,2000,Taylor,2.4,1.166,0.99,0.176,0.627,19.435,1.793,17.642,0.865,0.108,1.187,587.292,30.7,31,22.9,22.9,4.5,4.4,3.83,-9999
June,1997,Taylor,2.4,1.46,1.228,0.233,0.778,44.091,2.238,41.854,1.403,0.083,7.456,922.917,16.4,17.6,29.2,29,4.8,4.6,4.2,-9999
August,1998,Taylor,2.4,0.253,0.108,0.145,0.743,28.675,0.995,27.68,0.513,0.093,1.12,582.438,29.5,29.6,31.7,31.7,5.1,5.2,3.1,-9999
November,1999,Taylor,2.4,0.418,0.418,0,0,45.317,0.418,44.9,0.697,0,10.643,964.813,23.3,25.5,22.2,22.2,8.6,8,2.55,-9999
April,2000,Taylor,2.4,0.828,0.818,0.01,0,19.245,0.828,18.564,0.881,0.02,3.882,768.229,28.6,29.1,23.9,23.8,6.2,6.2,4.93,-9999
April,2003,Taylor,2.4,0.756,0.599,0.157,0.587,22.975,1.343,21.633,0.384,0.071,2.208,427.625,30.82,31.78,24.84,24.47,6.51,6.38,0.82,7.8
October,1999,Taylor,2.4,7.368,6.78,0.588,6.805,41.034,14.173,26.861,1.081,0.2,1.077,622.313,16.3,18.4,25.7,25.6,6.7,6.7,4.32,-9999
November,2005,Taylor,2.4,0.604,0.571,0.033,0.224,16.967,0.828,16.139,0.779,0.059,5.909,503.688,28.16,28.23,22.77,22.69,6.78,6.7,9.89,7.95
November,2004,Taylor,2.4,2.245,1.957,0.288,1.461,36.786,3.706,33.08,0.485,0.056,1.333,615.125,22.61,23.21,26.44,26.33,7.07,5.4,1.68,7.63
February,1998,Taylor,2.4,1.72,1.53,0.19,0.44,28.443,2.16,26.283,0.672,0.172,2.69,542.979,24.5,26.5,21.3,21,6.5,6.6,11.25,-9999
January,2004,Taylor,2.4,1.449,1.356,0.093,2.014,30.932,3.463,27.469,0.656,0.057,1.243,509.563,29.06,29.12,19.47,19.45,5.96,6.02,4.31,7.89
March,2005,Taylor,2.4,4.108,3.383,0.724,2.91,21.048,7.017,14.031,1.016,0.245,2.828,375.063,37.7,33.74,22.6,22.56,7.02,7.29,18.57,7.74
January,1998,Taylor,2.4,1.468,1.12,0.348,0.538,28.727,2.005,26.722,0.774,0.135,2.774,650.958,24.2,24.3,19,19,6,6,5.15,-9999
December,1999,Taylor,2.4,2.59,2.423,0.168,1.453,39.318,4.043,35.275,0.531,-9999,4.556,628.021,20.8,20.8,21.9,21.9,5.3,5.5,7.8,-9999
February,1996,Taylor,2.4,1.095,0.915,0.18,1.415,46.531,2.51,44.021,0.465,0.145,1.783,897.292,17.2,17.2,15.3,15.4,8.7,8.7,12.5,-9999
May,1997,Taylor,2.4,0.778,0.723,0.055,0.28,43.035,1.058,41.977,0.548,0.01,3.255,693.229,33.4,33.4,28.8,28.8,5.2,5.4,2.25,-9999
June,1998,Taylor,2.4,0.43,0.185,0.245,0.775,36.34,1.205,35.135,0.56,0.063,3.138,687.333,27.8,27.8,31.4,31.3,5,5.8,1.4,-9999
April,1999,Taylor,2.4,0.553,0.405,0.148,0.623,25.622,1.175,24.447,0.605,0.095,1.459,497.875,32.8,32.8,27.9,27.9,5.7,5.7,2.16,-9999
February,2001,Taylor,2.4,1.283,1.061,0.222,0.938,27.05,2.22,24.83,0.735,0.063,1.29,415.417,35.4,35.5,23.4,23,4.3,4.2,4.38,-9999
June,2001,Taylor,2.4,0.155,0.073,0.083,0.425,16.723,0.58,16.143,0.488,0.015,1.055,409.25,36.8,36.8,28.8,28.6,5.9,5.7,4.49,-9999
November,1998,Taylor,2.4,1.235,0.975,0.26,0.485,30.497,1.72,28.777,1.109,0.218,4.998,490.542,26.9,27.9,24.8,24.5,6.8,6.8,1.85,-9999
September,1999,Taylor,2.4,3.835,3.37,0.465,2.45,49.065,6.285,42.78,0.643,0.07,1.147,853.75,14.5,16.8,27.5,27.6,4.5,4.5,2.57,-9999
May,1999,Taylor,2.4,1.435,1.203,0.233,1.72,23.678,3.155,20.523,0.411,0.13,1.926,507.438,33.6,33.6,27.3,27.3,7.6,7.6,1.03,-9999
June,2000,Taylor,2.4,0.905,0.927,0,0.294,28.788,1.199,27.589,1.188,0.083,3.117,783.521,29.7,31.8,29.6,29.3,6.1,7.6,5.06,-9999
June,2004,Taylor,2.4,0.109,0.082,0.028,0.048,24.273,0.158,24.115,0.154,0.076,3.263,287.229,36.32,36.36,29.87,29.86,5.11,5.2,2.27,8.03
September,1996,Taylor,2.4,1.51,1.228,0.283,1.338,41.166,2.848,38.318,0.518,0.215,2.169,726.833,25.2,25.2,30.9,30.9,4.8,4.6,1.75,-9999
September,2005,Taylor,2.4,1.027,0.708,0.319,1.192,19.655,2.219,17.436,0.731,0.124,6.68,484.917,24.32,29.64,29.32,28.73,6.92,5.83,3.4,7.9
August,1996,Taylor,2.4,0.34,0.128,0.213,0.575,34.958,0.915,34.043,0.363,0.14,1.491,575.313,31.4,31.5,31.2,31,6.2,6.1,2.5,-9999
May,2005,Taylor,2.4,1.601,1.393,0.208,1.246,14.744,2.846,11.898,0.739,0.227,1.273,362.188,36.51,36.62,26.33,26.22,5.97,8.64,4.56,7.83
August,2004,Taylor,2.4,2.8,2.286,0.514,2.296,22.171,5.097,17.074,0.607,0.077,1.922,441.125,31.18,31.3,29.31,29.33,5.6,6.38,1.7,7.66
September,2000,Taylor,2.4,1.122,1.122,0,0.021,19.376,1.143,18.233,0.14,0.09,2.429,521.75,34,37.5,31.3,30.6,6.6,6.6,1.77,-9999
January,2002,Taylor,2.4,0.915,0.77,0.145,0,17.422,0.915,16.507,0.51,0.023,1.988,574.292,25.45,28,24.1,23.6,7.21,7.24,3.17,-9999
October,2000,Taylor,2.4,2.493,2.31,0.183,1.633,32.821,4.125,28.696,0.463,0.056,2.023,737.208,20.1,34.3,28.6,29,7.9,8,3.05,-9999
March,2002,Taylor,2.4,0.104,0,0.104,0.271,22.793,0.375,22.418,0.521,0.014,4.291,729.083,23.59,27.42,19,18.95,6.74,6.65,8.12,-9999
March,1997,Taylor,2.4,1.14,0.923,0.218,0.845,31.539,1.985,29.554,0.515,0.125,1.83,579.083,33.3,33.3,25,25,4.7,4.7,2.65,-9999
July,1997,Taylor,2.4,2.968,2.568,0.4,1.38,33.085,4.348,28.738,0.678,0.133,2.711,733.458,19.7,20,29.5,29.5,4,4,1.85,-9999
March,1996,Taylor,2.4,1.19,0.975,0.215,1.513,40.082,2.703,37.38,0.573,0.17,0.628,704.333,24.5,24.5,20.9,20.9,7.4,7.5,9.7,-9999
March,2003,Taylor,2.4,2.48,2.107,0.373,0.856,36.054,3.335,32.719,0.361,0.066,2.142,441.104,28.08,27.31,26.18,26.05,5.38,4.93,1.44,7.75
May,2000,Taylor,2.4,0.533,0.448,0.085,0.585,19.661,1.118,18.544,0.962,0.045,1.008,584.917,33.4,33.6,28.9,28.8,6.1,5.9,1.98,-9999
June,2005,Taylor,2.4,0.7,0.514,0.186,0.814,14.601,1.514,13.087,0.647,0.126,4.026,321.125,34.81,32.4,30.07,30.07,4.86,4.65,6.85,7.84
August,2000,Taylor,2.4,2.34,2.235,0.105,0.865,35.527,3.205,32.322,0.85,0.135,0.735,594.417,30.4,30.4,28.4,28.4,6.2,6.3,1.34,-9999
July,2000,Taylor,2.4,1.918,1.893,0.025,0,16.819,1.918,14.901,0.744,0.15,1.605,537.792,33.1,16.6,31.5,31.5,6.4,6.6,2.49,-9999
September,2003,Taylor,2.4,2.651,2.309,0.342,1.548,20.556,4.199,16.357,0.339,0.113,2.278,584.208,26.04,26.69,29.97,29.81,4.02,3.56,1.08,7.56
July,1999,Taylor,2.4,0.665,0.515,0.15,0.683,34.9,1.348,33.552,0.565,-9999,1.687,667.292,29.2,29.6,31.5,31.3,4.4,4.3,0.74,-9999
February,1999,Taylor,2.4,0.795,0.725,0.07,3.91,22.467,4.705,17.762,0.342,0.068,1.092,448.438,27.1,27,22,22.1,6.4,6.3,2.25,-9999
August,1999,Taylor,2.4,3.158,2.598,0.56,1.823,39.146,4.98,34.166,0.535,0.258,1.176,713.958,29,32.6,29.9,29.8,5.6,5.5,1.21,-9999
June,2003,Taylor,2.4,3.615,3.079,0.537,2.774,25.663,6.389,19.274,0.403,0.08,1.406,559.646,25.79,32.55,28.77,28.77,3.39,3.32,1.03,8.11
January,1997,Taylor,2.4,0.675,0.535,0.14,0.898,31.732,1.573,30.159,0.178,0.018,1.057,628.333,29.6,31.2,23.6,23.1,4,3.3,1.25,-9999
July,2005,Taylor,2.4,0.558,0.457,0.101,1.341,18.02,1.899,16.121,0.457,0.04,4.457,418.958,32.69,33.06,31.44,31.31,4.04,3.8,9.11,7.69
September,1997,Taylor,2.4,2.305,1.833,0.473,1.475,42.947,3.78,39.167,0.535,0.23,0.782,692.688,25.9,27,29.3,28.7,3.4,3.3,1.9,-9999
December,2003,Taylor,2.4,0.543,0.438,0.105,0.901,34.406,1.444,32.962,0.92,0.054,2.292,726.625,21.2,22.56,18.95,18.83,6.5,6.44,3.82,7.89
February,2000,Taylor,2.4,1.175,1.143,0,0.813,29.938,1.988,27.95,0.927,0.018,4.519,775.583,24,25.3,20.3,20.2,8,8,2.66,-9999
June,2001,Taylor,2.4,0.388,0.245,0.143,0.498,9.585,0.885,8.7,0.443,0.08,1.036,476.021,12.2,-9999,-9999,-9999,-9999,-9999,0.54,-9999
December,2004,Taylor,2.4,3.109,2.551,0.558,1.794,18.169,4.903,13.266,0.61,0.125,1.661,696.854,23.03,23.79,23.89,23.76,7.94,7.92,2.06,7.97
November,2001,Taylor,2.4,0.115,0,0.115,1.158,21.635,1.273,20.362,0.935,0.119,6.691,517.625,24.3,24.4,22.7,22.6,9.1,9.1,4.23,-9999
February,2005,Taylor,2.4,0.873,0.67,0.203,1.196,16.876,2.069,14.807,0.967,0.026,2.298,473.729,31.12,31.49,20.22,19.93,6.82,7.09,3.41,7.63
September,2002,Taylor,2.4,1.464,1.168,0.296,1.096,33.331,2.559,30.772,0.808,0.213,2.08,405.792,30.03,30,28.46,28.45,4.46,4.17,1.99,7.82
November,1997,Taylor,2.4,3.86,3.338,0.523,1.383,40.149,5.243,34.906,0.42,0.305,0.905,645,23.4,23.5,23.6,23.6,7.8,7.8,2,-9999
March,2001,Taylor,2.4,0.943,0.76,0.183,0.633,34.339,1.575,32.764,0.745,0.068,1.421,525.563,34.8,34.8,24.6,24.6,4.7,4.8,5.45,-9999
December,2005,Taylor,2.4,2.847,2.616,0.231,2.726,19.546,5.573,13.973,0.82,0.165,2.957,692.688,23.69,23.86,22,22.03,5.67,5.6,6.02,7.58
February,2002,Taylor,2.4,0.752,0.587,0.165,0.423,11.978,1.175,10.804,0.071,0.015,4.722,609.167,28.46,28.65,21.85,21.83,8.58,8.49,6.85,-9999
December,2001,Taylor,2.4,2.046,1.879,0.167,0.475,29.331,2.521,26.811,0.444,0.024,3.13,608.146,22,23,24.4,24.3,6.1,5.9,1.97,-9999
May,2004,Taylor,2.4,0.232,0.209,0.022,0.028,26.303,0.26,26.043,0.422,0.052,2.033,362.25,33.66,33.69,26.99,26.98,7.15,7.1,1.32,7.95
May,2002,Taylor,2.4,0.25,0.133,0.117,0.297,53.123,0.547,52.576,0.462,0.072,1.157,456.917,33.22,33.24,28.69,28.7,5.98,6.02,2.55,7.84
September,2001,Taylor,2.4,2.974,2.461,0.513,1.077,21.236,4.051,17.185,0.745,0.053,0.704,620.208,25.57,26.14,28.22,28.14,3.2,3.4,4,-9999
January,2005,Shark,2.7,5.031,4.597,0.434,3.186,30.435,8.217,22.219,0.404,0.056,0.819,1723.958,3.62,3.9,18.59,18.16,7.29,7.36,1.58,7.59
March,1999,Shark,2.7,3.815,3.625,0.19,2.905,65.389,6.72,58.669,0.331,0.003,2.541,1426.875,0.7,0.8,22.7,22.6,7.2,7.3,5.7,-9999
October,2002,Shark,2.7,0.546,0.428,0.118,0.635,67.158,1.181,65.977,0.218,0.025,0.323,1141.042,0.33,0.33,28.75,28.74,4.8,4.75,1.41,7.79
November,1996,Shark,2.7,2.848,2.635,0.213,0.865,73.149,3.713,69.437,0.423,0.07,1.853,1604.375,4.8,5.4,23.7,23.1,6.5,6.8,0.7,-9999
April,1998,Shark,2.7,1.36,1.145,0.215,0.913,70.789,2.273,68.517,0.315,0.023,3.311,1496.042,1.2,1.2,24.2,24.2,7.9,7.9,2.8,-9999
March,2004,Shark,2.7,4.147,3.976,0.172,2.09,56.998,6.237,50.761,0.299,0.037,1.736,1257.708,1.87,2,22.06,22.06,6.65,6.71,1.03,7.53
May,2003,Shark,2.7,0.387,0.195,0.192,1.009,43.374,1.396,41.978,0.481,0.064,4.118,1527.917,4.95,4.96,29.79,29.7,4.77,4.57,2.03,7.95
April,2002,Shark,2.7,0.305,0.172,0.133,0.99,24.064,1.295,22.77,0.508,0.07,2.605,1266.25,7.6,9.45,29.08,27.41,6.83,6.73,1.07,-9999
July,2004,Shark,2.7,0.913,0.757,0.157,0.896,40.461,1.81,38.652,0.24,0.009,3.009,2130.733,8.78,11.84,30.73,28.8,5.46,5.64,1.03,7.83
July,2000,Shark,2.7,0.385,0.223,0.163,0.29,39.879,0.675,39.204,0.672,0.048,1.94,1476.875,1.6,3.2,31.3,31.2,4.5,4.4,1.03,-9999
August,2005,Shark,2.7,0.938,0.726,0.212,1.025,19.201,1.963,17.238,0.284,0.054,3.986,1222.292,0.42,0.42,30.85,30.95,3.83,3.65,2.29,7.55
April,2004,Shark,2.7,1.5,1.304,0.196,1.573,35.221,3.073,32.149,0.432,0.04,5.331,1125.208,13.54,14.85,23.25,23.21,7.02,6.96,1.62,7.83
August,2001,Shark,2.7,0.743,0.55,0.193,1.03,40.534,1.773,38.762,0.41,0.065,4.777,1792.708,1.2,1.2,31.1,31.2,3.6,3.6,1.15,-9999
May,1999,Shark,2.7,1.265,1.06,0.205,2.423,43.086,3.688,39.398,0.411,0.058,1.398,1292.292,17.6,17.6,21.8,21.8,5.4,5.5,1.09,-9999
January,2000,Shark,2.7,1.46,1.455,0.005,2.093,47.718,3.553,44.165,0.348,0.008,2.071,1380.833,0.4,1,23.6,23.6,7.9,7.9,0.42,-9999
December,1997,Shark,2.7,1.86,1.74,0.12,1.778,57.323,3.638,53.685,0.4,0,0.495,1245.208,0.7,0.7,19.5,19.3,7.5,8.2,0.35,-9999
August,2003,Shark,2.7,0.461,0.34,0.121,0.765,33.592,1.225,32.367,0.377,0.098,2.552,914.167,0.32,0.43,29.19,28.65,4.59,4.31,1.85,7.64
November,2002,Shark,2.7,1.621,1.497,0.124,1.351,42.504,2.972,39.532,0.267,0.053,0.796,1227.917,0.98,1.08,19.08,19.12,6,5.97,1.2,7.35
June,2001,Shark,2.7,2.217,1.567,0.65,1.77,29.797,3.987,25.81,0.573,0.065,0.944,1249.792,21.4,21.5,30.5,30.3,3.4,3.2,2.65,-9999
November,2003,Shark,2.7,1.323,1.134,0.19,1.13,27.958,2.453,25.506,0.231,0.068,1.236,1176.667,0.89,1.16,25.03,24.73,5.01,4.65,1.17,7.65
June,2000,Shark,2.7,1.865,1.584,0.281,1.038,35.292,2.903,32.389,0.691,0.01,2.262,1473.542,3.1,3.1,29.8,29.6,7.6,7.4,2.14,-9999
March,2000,Shark,2.7,3.583,3.457,0.126,1.467,44.34,5.049,39.291,0.319,0,3.015,1593.75,1.4,1.5,24.4,24.1,8.1,8.4,1.3,-9999
October,1996,Shark,2.7,1.39,1.245,0.145,0.593,73.237,1.983,71.255,0.483,0.038,1.376,1328.542,0.3,0.4,25.6,25.5,5.7,5.8,2,-9999
April,2000,Shark,2.7,0.166,0.141,0.024,0.07,46.011,0.236,45.775,0.766,0.013,3.363,1637.5,5.2,5.4,24.6,24.7,6.2,6.2,2.82,-9999
October,1997,Shark,2.7,1.71,1.558,0.153,2.275,66.511,3.985,62.526,0.4,0.025,1.07,1241.667,0.8,0.9,27.8,27.8,7.1,7.1,0.78,-9999
March,2005,Shark,2.7,0.726,0.57,0.156,2.165,20.933,2.891,18.042,0.779,0.047,3.045,1350.361,10.54,12.15,28.22,26.22,6.54,6.77,3.45,7.79
January,2003,Shark,2.7,5.988,5.825,0.163,4.684,65.189,10.672,54.517,0.448,0,2.418,1189.792,2.04,2.07,18.04,18.07,8.05,8.04,1.17,7.75
February,1997,Shark,2.7,6.788,6.378,0.41,2.76,83.754,9.548,74.206,0.525,0.035,3.699,1912.917,3.6,3.6,25.8,25.8,5.1,5,7.2,-9999
October,2000,Shark,2.7,0.508,0.31,0.198,0.582,27.647,1.09,26.557,0.257,0.024,0.528,586.896,-9999,-9999,27.7,27.7,6,6,0.56,-9999
